33,4224,344.5026816068337,22,0.0,0.0,0.0,0.0,1188.0,0.0,1188.0,1188.0,1.945872813463211,0.0007233966025523841,-0.00023566721938550472,9.953127459993993e-07,0.0006399005135212825,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
34,4352,360.2253875702424,22,0.0,0.0,0.0,0.0,1188.0,0.0,1188.0,1188.0,1.9458364844322205,0.0003013282002939377,-0.00019196056018699892,8.076435022985606e-07,0.00012487261118116023,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
35,4480,324.292779337885,23,0.0,0.0,0.0,0.0,372.0,0.0,372.0,372.0,1.9458515644073486,0.0006165485247038305,0.00031336411484517157,8.426995776744661e-07,0.0003934673165881345,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
36,4608,417.9948489406694,23,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9457564055919647,0.0006211363070178777,7.87396274972707e-05,6.361074611049844e-06,0.0006151415215343841,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
37,4736,405.3581388606169,24,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.945596694946289,0.0005300201082718559,0.0001880025192804169,5.225967640853924e-07,0.0001956388242615827,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
38,4864,380.693093261743,25,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9455414712429047,-0.00010995243974321056,-5.0513128599050106e-05,6.602767115282404e-07,0.0002392843076898432,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
39,4992,338.0413894889814,25,0.0,0.0,0.0,0.0,122.0,0.0,122.0,122.0,1.9456570148468018,-9.716527529235464e-07,-8.575064430260682e-05,5.059324692524569e-07,0.00030488880971993613,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
40,5120,333.3028582780799,26,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9457757771015167,-0.0003049772094527725,2.6881450139626395e-05,1.0712472402474305e-06,0.0002297351739076754,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
41,5248,355.7443749718384,26,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.945607751607895,-0.0007865800871513784,0.00031022423718241043,4.683601787291991e-06,0.00028580145207918574,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
42,5376,362.404862388046,26,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9457912743091583,-0.0012460164725780487,0.00016150038754858542,5.342109758998959e-07,0.0003803459657603589,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
43,5504,380.8648576556636,27,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.945766270160675,-0.0002798765490297228,-0.000540895271115005,1.0722617815872582e-06,0.0011084376693418746,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
44,5632,377.930128766483,27,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9454348981380463,0.0016457104939036071,0.0008619366490165703,1.0037753099823021e-05,0.002171213308685573,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
45,5760,352.5162130786727,28,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9455375373363495,0.002465636469423771,0.0005813307507196441,2.3573583121105912e-06,0.000517929647596192,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
46,5888,340.9070001797018,29,0.0,0.0,0.0,0.0,828.0,0.0,828.0,828.0,1.9455329477787018,-0.0009598017641110346,-2.0369406229292508e-05,2.5978651478908432e-06,0.0012208329423220444,0.0,0.0,0.0,0.0
